nest_number,year,post_number,location_description,discovery_date,eggs_at_discovery,total_eggs,nest_fate,failure_cause,expected_hatch_date,actual_hatch_date,eggs_hatched,chicks_fledged,longitude,latitude,notes1,notes2,notes3
168,2006,253,rock bed1,4/19/06,3,3,hatched,,5/19/06,5/13/06,3,2,no GPS recorded,no GPS recorded,"owl feathers, OK","caged at discovery, uncaged 5/6",
169,2006,239,rock bed2 ,4/19/06,1,3,hatched,,5/19/06,5/16/06,3,1,no GPS recorded,no GPS recorded,,"caged at discovery, uncaged 5/6",
170,2006,305,slough edge back,4/26/06,1,3,predator - gull,gull,5/26/06,.,0,0,no GPS recorded,no GPS recorded,Gull 5/25,"caged at discovery, uncaged 5/6",
171,2006,486,broken sign pond tral ,4/26/06,3,3,hatched,,5/26/06,5/18/06,3,1,no GPS recorded,no GPS recorded,,Uncaged,
172,2006,.,trail head Access D,4/30/06,3,3,abandoned,abandoned,5/30/06,6/1/06,0,0,no GPS recorded,no GPS recorded,"abandoned 5/11 eggs cold. Colected may 12, no predator print",caged at discovery,"nursery nest, 1 hatched, 1 fledged "
173,2006,651,orange rock west end,5/3/06,3,3,hatched,,6/2/06,5/30/06,3,1,no GPS recorded,no GPS recorded,,Uncaged,
174,2006,407,slough edge west side,5/3/06,3,3,tide,tide,6/2/06,.,0,0,no GPS recorded,no GPS recorded,,Uncaged,
175,2006,200,.,5/6/06,1,3,predator - skunk,skunk,6/5/06,.,0,0,no GPS recorded,no GPS recorded,"Skunk? 5/26, egg shells",Uncaged,
176,2006,249,rock bed3,5/6/06,3,3,unknown fate,,6/5/06,.,.,0,no GPS recorded,no GPS recorded,1 egg left,Uncaged,
177,2006,727,.,5/6/06,3,3,abandoned,abandoned,6/5/06,6/6/06,0,0,no GPS recorded,no GPS recorded,"abandoned 5/11 eggs cold. Collected may12, no predator print",Uncaged,"nursery nest, 2 fledged"
178,2006,276,.,5/7/06,1,3,predator - unknown,unknown,6/6/06,.,0,0,no GPS recorded,no GPS recorded,,Uncaged,
179,2006,563,white sign near pond trail,5/11/06,3,3,hatched,,6/10/06,6/7/06,3,3,no GPS recorded,no GPS recorded,,,
180,2006,145,white stump,5/11/06,3,3,hatched,,6/10/06,5/11/06,3,2,no GPS recorded,no GPS recorded,,,
181,2006,135,"back dunes, delta trail",5/16/06,3,3,hatched,,6/15/06,6/10/06,3,0,no GPS recorded,no GPS recorded,,,
182,2006,218,.,5/22/06,3,3,hatched,,6/21/06,6/16/06,2,2,no GPS recorded,no GPS recorded,1 egg broken wind,,
183,2006,25,.,5/25/06,3,3,hatched,,6/24/06,6/22/06,3,2,no GPS recorded,no GPS recorded,,,
184,2006,400,festher David,.,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk? 5/26,,
185,2006,190,.,6/4/06,scrape only,.,no data,,7/4/06,.,0,0,no GPS recorded,no GPS recorded,,,
186,2006,250,.,6/4/06,3,3,hatched,,7/4/06,7/3/06,3,3,no GPS recorded,no GPS recorded,,,
187,2006,25back,.,6/4/06,2,3,hatched,,7/4/06,7/2/06,3,1,no GPS recorded,no GPS recorded,,,
188,2006,267,.,6/7/06,3,3,hatched,,7/7/06,7/2/06,3,3,no GPS recorded,no GPS recorded,,,
189,2006,413,.,6/7/06,3,3,hatched,,7/7/06,7/4/06,3,3,no GPS recorded,no GPS recorded,,,
190,2006,590,.,6/10/06,3,3,hatched,,7/10/06,7/3/06,2,2,no GPS recorded,no GPS recorded,,,
191,2006,175,.,6/10/06,3,.,abandoned,abandoned,7/10/06,.,0,0,no GPS recorded,no GPS recorded,,,
192,2006,163,.,6/10/06,3,.,unknown fate,,7/10/06,.,.,0,no GPS recorded,no GPS recorded,,,
193,2006,515,.,6/16/06,3,3,hatched,,7/16/06,7/18/06,1,1,no GPS recorded,no GPS recorded,2 eggs washed out by tide,,
194,2006,450,.,6/22/06,3,.,no data,,7/22/06,7/18/06,.,.,no GPS recorded,no GPS recorded,,,
195,2006,235 back,.,6/23/06,3,3,hatched,,7/23/06,7/18/06,2,2,no GPS recorded,no GPS recorded,infetile,,
196,2006,564,.,7/1/06,unconfirmed,.,tide,tide,7/31/06,.,0,0,no GPS recorded,no GPS recorded,,,
197,2006,613,.,7/9/06,3,3,hatched,,8/8/06,8/1/06,1,1,no GPS recorded,no GPS recorded,infertile?,,
198,2006,175,.,.,3,3,hatched,,.,8/1/06,3,2,no GPS recorded,no GPS recorded,,,
199,2006,163,.,.,unconfirmed,3,hatched,,#VALUE!,8/5/06,3,2,no GPS recorded,no GPS recorded,,,
200,2007,165,.,3/17/07,unconfirmed,.,hatched,,4/16/07,4/14/07,3,2,no GPS recorded,no GPS recorded,,,
201,2007,260,.,3/19/07,unconfirmed,.,predator - skunk,skunk,4/18/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 4/16,,
202,2007,467,.,3/19/07,unconfirmed,.,unknown fate,,4/18/07,.,.,0,no GPS recorded,no GPS recorded,unknown,,
203,2007,234,.,3/19/07,unconfirmed,.,abandoned,abandoned,4/18/07,.,2,0,no GPS recorded,no GPS recorded,2 chicks and 1 egg found abandoned 4/23,,
204,2007,662,.,3/23/07,unconfirmed,.,predator - skunk,skunk,4/22/07,.,0,0,no GPS recorded,no GPS recorded,"Predated 4/10, skunk footprint near",,
205,2007,197,.,3/30/07,unconfirmed,.,unknown fate,,4/29/07,.,.,0,no GPS recorded,no GPS recorded,"Eggs dissapeared, unknown cause",,
206,2007,283,.,3/30/07,unconfirmed,.,unknown fate,,4/29/07,.,.,0,no GPS recorded,no GPS recorded,unknown,,
207,2007,597,.,3/30/07,unconfirmed,.,predator - skunk,skunk,4/29/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 4/13,,
208,2007,70,.,3/31/07,unconfirmed,.,hatched,,4/30/07,4/27/07,3,2,no GPS recorded,no GPS recorded,,,
209,2007,387,.,4/3/07,unconfirmed,.,unknown fate,,5/3/07,.,.,0,no GPS recorded,no GPS recorded,unknown,,
210,2007,307,.,4/3/07,unconfirmed,.,wind,wind,5/3/07,.,0,0,no GPS recorded,no GPS recorded,Wind Collected 4/13 3 eggs,,
211,2007,697,.,4/7/07,unconfirmed,.,predator - skunk,skunk,5/7/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 4/13,,
212,2007,270 PA:AR,.,4/7/07,unconfirmed,.,unknown fate,,5/7/07,.,.,0,no GPS recorded,no GPS recorded,unknown,,
213,2007,245,.,4/7/07,unconfirmed,.,hatched,,5/7/07,5/2/07,3,1,no GPS recorded,no GPS recorded,,,
214,2007,455,.,4/10/07,unconfirmed,.,hatched,,5/10/07,5/6/07,3,0,no GPS recorded,no GPS recorded,,,
215,2007,497,.,4/10/07,unconfirmed,.,predator - skunk,skunk,5/10/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 4/16,,
216,2007,282,.,4/13/07,unconfirmed,.,predator - skunk,skunk,5/13/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 4/15,,
217,2007,180,.,4/17/07,unconfirmed,.,hatched,,5/17/07,4/27/07,2,2,no GPS recorded,no GPS recorded,,,
218,2007,337,.,4/17/07,unconfirmed,.,hatched,,5/17/07,.,2,1,no GPS recorded,no GPS recorded,"buried 4/18, unburied 4/19,  hatched 5/16",,
219,2007,487,.,4/25/07,unconfirmed,.,hatched,,5/25/07,5/28/07,1,0,no GPS recorded,no GPS recorded,2 eggs infertile,,
220,2007,20,.,4/27/07,unconfirmed,.,unknown fate,,5/27/07,.,.,0,no GPS recorded,no GPS recorded,"buried 5/4, unburied 5/4, disappeared on hatch date",,
221,2007,307,.,4/27/07,unconfirmed,.,hatched,,5/27/07,5/25/07,3,3,no GPS recorded,no GPS recorded,,,
222,2007,398,.,4/27/07,unconfirmed,.,hatched,,5/27/07,5/23/07,2,1,no GPS recorded,no GPS recorded,,,
223,2007,329,.,4/30/07,unconfirmed,.,hatched,,5/30/07,5/28/07,2,1,no GPS recorded,no GPS recorded,,,
224,2007,297,.,4/30/07,unconfirmed,.,wind,wind,5/30/07,.,0,0,no GPS recorded,no GPS recorded,"buried May 3, collected may 4",,
225,2007,520,.,5/5/07,unconfirmed,.,unknown fate,,6/4/07,.,.,0,no GPS recorded,no GPS recorded,Unknown at hatching date,,
226,2007,190 back,.,5/7/07,unconfirmed,.,predator - skunk,skunk,6/6/07,.,0,0,no GPS recorded,no GPS recorded,skunk 5/25,,
227,2007,395,.,5/11/07,unconfirmed,.,tide,tide,6/10/07,5/23/07,0,0,no GPS recorded,no GPS recorded,Tide 5/18/07,collected 5/18,
228,2007,660,.,5/11/07,unconfirmed,.,hatched,,6/10/07,6/11/07,3,0,no GPS recorded,no GPS recorded,,,
229,2007,296,.,5/14/07,unconfirmed,.,hatched,,6/13/07,6/8/07,3,0,no GPS recorded,no GPS recorded,,,
230,2007,564,.,5/14/07,unconfirmed,.,hatched,,6/13/07,5/28/07,1,1,no GPS recorded,no GPS recorded,,,
231,2007,226,.,5/16/07,unconfirmed,.,predator - skunk,skunk,6/15/07,.,0,0,no GPS recorded,no GPS recorded,skunk 5/25,,
232,2007,606,.,5/16/07,unconfirmed,.,hatched,,6/15/07,5/20/07,2,0,no GPS recorded,no GPS recorded,,,
233,2007,257,.,5/16/07,unconfirmed,.,hatched,,6/15/07,5/23/07,2,2,no GPS recorded,no GPS recorded,,,
234,2007,0,.,5/18/07,unconfirmed,.,predator - skunk,skunk,6/17/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 5/25 1 egg,,
235,2007,back,.,5/18/07,unconfirmed,.,hatched,,6/17/07,5/30/07,3,1,no GPS recorded,no GPS recorded,,,
236,2007,270,.,5/23/07,unconfirmed,.,predator - skunk,skunk,6/22/07,.,0,0,no GPS recorded,no GPS recorded,skunk 5/25,,
237,2007,362,.,5/30/07,unconfirmed,.,hatched,,6/29/07,6/19/07,2,0,no GPS recorded,no GPS recorded,,,
238,2007,252,.,5/30/07,unconfirmed,.,predator - skunk,skunk,6/29/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 6/14,,
239,2007,161 middle,.,5/30/07,unconfirmed,.,predator - skunk,skunk,6/29/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 6/17,,
240,2007,117,.,6/5/07,unconfirmed,.,unknown fate,,7/5/07,.,.,0,no GPS recorded,no GPS recorded,Unknown 6/23,,
241,2007,387,.,6/3/07,unconfirmed,.,unknown fate,,7/3/07,.,.,0,no GPS recorded,no GPS recorded,Unknown 6/23,,
242,2007,10,.,6/2/07,unconfirmed,.,predator - skunk,skunk,7/2/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 6/21,,
243,2007,277,.,6/5/07,unconfirmed,.,predator - skunk,skunk,7/5/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 6/23,,
244,2007,429,.,6/6/07,unconfirmed,.,predator - skunk,skunk,7/6/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 6/17,,
245,2007,184,.,6/14/07,unconfirmed,.,predator - skunk,skunk,7/14/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 6/17,,
246,2007,399,.,6/18/07,unconfirmed,.,egg replacement,,7/18/07,.,.,.,no GPS recorded,no GPS recorded,"4 eggs Replaced 4 6/25, hatched 7/10","collected eggs, 4 chicks hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
247,2007,349,.,6/18/07,unconfirmed,.,unknown fate,,7/18/07,.,.,0,no GPS recorded,no GPS recorded,unknown 6/24,,
248,2007,350,.,6/21/07,unconfirmed,.,egg replacement,,7/21/07,.,.,.,no GPS recorded,no GPS recorded,"Replaced 3 6/25, hatched 7/13","collected eggs, 2 chicks hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
249,2007,373 back,.,6/22/07,unconfirmed,.,predator - skunk,skunk,7/22/07,.,0,0,no GPS recorded,no GPS recorded,Skunk 6/23,,
250,2007,513,.,6/22/07,unconfirmed,.,egg replacement,,7/22/07,.,.,.,no GPS recorded,no GPS recorded,"Replaced 3 6/26, hacthed 7/19","collected eggs, 2 chicks hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
251,2007,100 back,.,.,unconfirmed,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk 6/23,,
252,2007,320 feather,.,.,unconfirmed,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,"Replaced 3 6/25, hatched 7/19","collected eggs, 2 chicks hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
253,2007,300 back,.,.,unconfirmed,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,"Replaced 2 6/26, hatched 7/24","collected eggs, 3 chicks hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
254,2007,? ,.,.,unconfirmed,.,hatched,,6/5/07,.,.,0,no GPS recorded,no GPS recorded,bonus nest: 2 chicks seen on discovery,,
255,2007,260,.,.,unconfirmed,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,"Replaced 2 6/27, hatched 7/24","collected eggs, 2 chicks hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
256,2007,150back,.,.,unconfirmed,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk 6/30,,
257,2007,10,.,.,unconfirmed,.,egg replacement,,.,7/27/07,.,.,no GPS recorded,no GPS recorded,Replaced 3 7/10,parent rejected after egg replacement,
258,2007,267,.,.,unconfirmed,.,egg replacement,,.,7/30/07,.,.,no GPS recorded,no GPS recorded,Replaced 2 7/16,"collected eggs, 2 chicks hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
259,2007,340,.,.,unconfirmed,.,egg replacement,,.,7/29/07,.,.,no GPS recorded,no GPS recorded,Replaced 3 7/16,"collected eggs, 3 chicks hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
260,2007,245,.,.,unconfirmed,.,hatched,,.,7/3/07,3,0,no GPS recorded,no GPS recorded,,,
261,2007,363,.,.,unconfirmed,.,unknown fate,,,.,.,0,no GPS recorded,no GPS recorded,Unkown 7/13,,
263,2007,180,.,.,unconfirmed,.,hatched,,7/25/07,7/26/07,3,0,no GPS recorded,no GPS recorded,,,
265,2007,436,.,.,unconfirmed,.,egg replacement,,,.,.,.,no GPS recorded,no GPS recorded,Replaced 3 7/16,,
262 B,2007,320 back,.,.,unconfirmed,.,unknown fate,,,.,.,0,no GPS recorded,no GPS recorded,Unknown 7/13,,
264 B,2007,168 mid,.,.,unconfirmed,.,egg replacement,,.,7/22/07,.,.,no GPS recorded,no GPS recorded,Replaced 3 7/16,"collected eggs, 3 chicks hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
266,2008,522,.,4/7/08,3,.,unknown fate,,.,.,.,0,no GPS recorded,no GPS recorded,Unknown,,
267,2008,238,.,4/9/08,3,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk,,
268,2008,415,.,4/10/08,2,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,"1 infertile, 2dead full term embryos",,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
269,2008,162,.,4/14/08,1,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk,,
270,2008,440,.,4/14/08,1,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,"1 infertile, 2dead full term embryos",,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
272,2008,36,.,4/18/08,2,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched 1,chicks/eggs predated ,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
273,2008,217,.,4/20/08,3,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched 1,"1 chick hatched and predated, 2 dead enbryo)",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
274,2008,267,.,4/22/08,3,.,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,Wind  (incubator),3 full term dead embryos ,
275,2008,335,.,4/22/08,2,.,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,Tide (incubator),"1 egg cracked, 1 eggs dead embryo young",
276,2008,end,.,4/23/08,3,.,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,Wind (incubator),"1 small embryo, 2 infertile or very small embryos",
277,2008,226,.,4/25/08,1,.,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,Tide (incubator),,
278,2008,112,.,4/26/08,2,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk,,
279,2008,160,.,4/26/08,3,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched 1,"1 chick hatched, 2 eggs predated",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
280,2008,344,.,4/22/08,1,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,2 full term dead embryos,,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
281,2008,283,.,5/2/08,3,.,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,Tide (incubator),"collected eggs, 2 chicks hatched, malformed",
282,2008,320,.,5/3/08,2,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,dead embryo,5/31/08,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
283,2008,7,.,5/3/08,3,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched 1,chicks/eggs predated ,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
284,2008,120,.,5/10/08,1,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/7/08,
285,2008,363,.,5/12/08,3,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,"2 Hatched after replacement, 1 fledged",6/9/08,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
286,2008,217,.,5/12/08,1,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/9/08,
287,2008,435,.,5/12/08,2,.,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,tide,6/9/08,
296,2008,193,.,6/14/08,1,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched 7/12,"collected 6/18. 3 eggs hatched, 2 fledged ",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
297,2008,221,.,6/14/08,2,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk june 19,7/13/08,
298,2008,153 front,.,6/16/08,2,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched 7/13,"collected 6/18, 2 chick hatched in nursery, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
299,2008,269,.,6/18/08,1,.,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,Tide (incubator),collected 2 6/26,
300,2008,5 mid,.,6/21/08,3,.,egg replacement,,.,7/13/08,.,.,no GPS recorded,no GPS recorded,Hatched 7/13,"collected 6/21, 3 eggs hatched, 3 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
301,2008,62 mid,.,6/21/08,3,.,egg replacement,,.,7/12/08,.,.,no GPS recorded,no GPS recorded,Hatched 7/12,"collected 6/21, 2 eggs hatched in nursery, 2 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
302,2008,220 front,.,6/21/08,2,.,egg replacement,,.,7/11/08,.,.,no GPS recorded,no GPS recorded,Hatched 7/11,"collected 6/22, 3 eggs hatched, 4(?) chicks fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
303,2008,312 mid slough,.,6/21/08,3,.,egg replacement,,.,7/12/08,.,.,no GPS recorded,no GPS recorded,Hatched 7/12,"collected 6/21, 3 eggs hatched, 2 chicks fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
304,2008,390 front,.,6/21/08,3,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched,"collected 6/21, 3 eggs hatched, 3 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
305,2008,304 N of lagoon,.,6/22/08,3,.,unknown fate,,.,.,.,0,no GPS recorded,no GPS recorded,Unknown fate,?,
306,2008,Delta,.,6/19/08,3,.,hatched,,.,.,3,3,no GPS recorded,no GPS recorded,Hatched ,Not collected,
307,2008,148,.,6/28/08,3,.,egg replacement,,.,7/14/08,.,.,no GPS recorded,no GPS recorded,Hathed July 14,"collected 6/29, 3 hatched, 0 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
308,2008,250 front,.,6/28/08,2,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched 7/27/2008,"collected 6/29, 3 hatched, 2 fledged",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
309,2008,Delta,.,6/28/08,3,.,hatched,,.,7/12/08,3,3,no GPS recorded,no GPS recorded,Hatched 7/12,Not collected,
262 A,2008,505,.,3/22/08,1,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk,,
263 A,2008,370,.,3/22/08,?,.,unknown fate,,.,.,.,0,no GPS recorded,no GPS recorded,Unknown,,
264 A,2008,395,.,3/28/08,1,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched 3,3 hatched after replacement. chicks predated ,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
265 A,2008,363,.,3/28/08,1,.,unknown fate,,.,.,.,0,no GPS recorded,no GPS recorded,Unknown,,
271 A,2008,380,.,4/18/08,2,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,Hatched 3 after replacement,"2 chicks predated, 1 chick in nursery",data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
288 A,2008,175,.,5/12/08,1,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/9/08,
288 B,2008,260,.,5/31/08,3,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/28/08,
289 A,2008,229,.,5/15/08,3,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/12/08,
289 B,2008,232,.,5/31/08,3,.,hatched,,.,.,3,2,no GPS recorded,no GPS recorded,Hatched ,6/11/08,
290 A,2008,36,.,5/27/08,1,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/24/08,
290 B,2008,3,.,5/31/08,3,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/28/08,
291 A,2008,115,.,5/28/08,2,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/25/08,
291 B,2008,102,.,6/7/08,2,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,"3 Hatched 7/3 after replacement, 3 fledged",collected 6/18,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
292 A,2008,385,.,5/28/08,unconfirmed,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk,6/25/08,
292 B,2008,332,.,6/7/08,1,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Skunk,7/5/08,
293 A,2008,429,.,5/28/08,2,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/25/08,
293 B,2008,342,.,6/7/08,2,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,"3 Hatched 7/3 after replacement, 2 fledged",collected 6/18,
294 A,2008,123,.,5/28/08,2,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/25/08,
294 B,2008,255,.,6/14/08,1,.,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,Tide (incubator),7/14/08,
295 A,2008,165,.,5/28/08,3,.,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk,6/25/08,
295 B,2008,201,.,6/14/08,1,.,egg replacement,,.,.,.,.,no GPS recorded,no GPS recorded,"3 Hatched 7/11 after replacement, 2 fledged",collected 6/18,data excluded from hatch/fledge column because the eggs were collected by staff and replaced prior to hatching
310,2009,367,.,3/8/09,3,.,hatched,,4/5/09,4/4/09,2,1,no GPS recorded,no GPS recorded,,,
311,2009,393,.,3/9/09,3,.,hatched,,4/6/09,4/8/09,3,1,no GPS recorded,no GPS recorded,,,
312,2009,60,.,3/10/09,3,.,predator - skunk,skunk,4/7/09,.,0,0,no GPS recorded,no GPS recorded,skunk 5/22,,
313,2009,108,.,3/14/09,1,.,predator - skunk,skunk,4/17/09,.,0,0,no GPS recorded,no GPS recorded,skunk 5/21,,
314,2009,194,.,3/21/09,3,.,hatched,,4/18/09,4/18/09,2,0,no GPS recorded,no GPS recorded,,,
315,2009,595,.,3/28/09,2,.,hatched,,4/25/09,4/27/09,1,0,no GPS recorded,no GPS recorded,,,
316,2009,118,.,3/28/09,1,.,wind,wind,4/28/09,.,0,0,no GPS recorded,no GPS recorded,,,
317,2009,Delta,.,3/30/09,3,.,predator - unknown,unknown,4/27/09,.,0,0,no GPS recorded,no GPS recorded,,,
318,2009,535,.,3/31/09,3,.,hatched,,4/28/09,.,2,1,no GPS recorded,no GPS recorded,,,
319,2009,250,.,4/2/09,unconfirmed,.,wind,wind,4/30/09,.,0,0,no GPS recorded,no GPS recorded,,,
320,2009,216,.,4/4/09,3,.,hatched,,5/2/09,4/28/09,3,3,no GPS recorded,no GPS recorded,,,
321,2009,262,.,4/4/09,1,.,wind,wind,5/2/09,.,0,0,no GPS recorded,no GPS recorded,,,
322,2009,408,.,4/4/09,3,.,predator - skunk,skunk,5/2/09,.,0,0,no GPS recorded,no GPS recorded,,,
323,2009,24,.,4/4/09,3,.,predator - unknown,unknown,5/2/09,.,0,0,no GPS recorded,no GPS recorded,,,
324,2009,292,.,4/7/09,2,.,wind,wind,5/5/09,.,0,0,no GPS recorded,no GPS recorded,,,
325,2009,N250,.,4/11/09,3,.,hatched,,5/9/09,.,.,0,no GPS recorded,no GPS recorded,,,
326,2009,140,.,4/13/09,3,.,wind,wind,5/11/09,.,0,0,no GPS recorded,no GPS recorded,,,
327,2009,150,.,4/22/09,unconfirmed,.,hatched,,?,4/22/09,2,1,no GPS recorded,no GPS recorded,,,
328,2009,368,.,4/29/09,3,.,predator - crow,crow,5/27/09,.,0,0,no GPS recorded,no GPS recorded,,,
329,2009,127,.,4/29/09,3,.,predator - skunk,skunk,5/27/09,.,0,0,no GPS recorded,no GPS recorded,Skunk 5/10,,
330,2009,288,.,5/2/09,2,.,hatched,,5/30/09,5/27/09,2,2,no GPS recorded,no GPS recorded,,,
331,2009,408,.,5/2/09,2,.,tide,tide,5/30/09,.,0,0,no GPS recorded,no GPS recorded,tide 5/10,,
332,2009,228,.,5/2/09,2,.,predator - skunk,skunk,5/30/09,.,0,0,no GPS recorded,no GPS recorded,Skunk 5/10,,
333,2009,495,.,5/2/09,3,.,hatched,,5/30/09,5/30/09,2,0,no GPS recorded,no GPS recorded,,,
334,2009,Delta2,.,5/4/09,3,.,hatched,,6/1/09,5/26/09,2,0,no GPS recorded,no GPS recorded,,,
335,2009,475,.,5/6/09,unconfirmed,.,hatched,,.,5/6/09,.,0,no GPS recorded,no GPS recorded,"bonus nest - 1 chick at discovery, not sure how many hatched in total",,
339,2009,385,.,5/9/09,3,.,tide,tide,6/6/09,.,0,0,no GPS recorded,no GPS recorded,"tide/collected 3 eggs 5/12, hatched 6/6/2009",,
